,analyst_estimated_eps,next_period
249,16.360555555555557,16.29
250,3.239599,3.059
251,15.158998217391305,15.869388
252,15.158998217391305,15.869388
253,56.607164,62.329438
254,10.185758368421054,10.561443
255,2.9277792631578947,3.215421
256,2.038961090909091,1.555615
257,2.0767306956521736,2.1505193333
258,0.34677699999999995,0.3418092
259,14.475875814814815,15.091061
260,1.3705579230769231,0.64241
261,2.928346,2.810517
262,2.928346,2.809123
263,3.951519,3.912769
264,15.007058476190474,15.481449
265,5.252857,5.464915
266,5.252857,5.464915
267,60.56073942105263,61.427814
268,8.787954,8.385848
269,12.560834555555555,14.101382
270,5.845627,5.89849
271,9.000953555555556,9.144148
272,4.646756354838709,4.54994
273,4.646756354838709,4.54994
275,9.467500000000001,10.01
278,5.388407952380952,5.842768
279,8.571089620689657,8.797085
280,8.207768826086955,7.630274
281,8.571089620689657,8.797085
282,4.199422,4.401756
283,10.027202647058825,10.206967
284,9.336571032258064,9.398284
285,0.9279100000000001,-2.249834
286,2.3170410476190475,2.337698
287,2.552923076923077,2.3745699
288,10.46379847368421,10.924525
289,5.832091076923077,6.070168
290,5.832091076923077,6.070168
291,8.638439,8.47959
292,3.5933181111111114,3.325313
293,4.979174,5.324037
294,18.297619047619047,18.25
295,17.06797627272727,16.322423
296,17.06797627272727,16.322423
297,6.237366999999999,6.487909
298,9.51158611111111,8.91422
299,4.048799666666667,4.206277
300,15.38607142857143,15.58
301,2.184194703703704,2.1996773333
302,2.953831,2.849417
303,6.664023517241379,6.987407
304,0.39784642037037043,0.39881195
305,2.9456370000000005,2.840421
306,2.058551,2.122701
307,1.322911,0.519522
308,3.712962962962963,3.86
309,5.747591352941177,5.801928
310,5.747591352941177,5.801928
311,53.21856190909091,53.633964
312,5.8675838421052635,5.921487
313,14.724505999999998,15.624139
314,8.65105211111111,8.014063
315,9.040042,9.105484
316,9.040042,9.105484
317,8.684186,8.446463
318,9.642272727272728,10.0
319,5.892831842105263,5.401331
320,4.17940235483871,4.049164
321,4.17940235483871,4.049164
322,9.582921333333333,10.176863
323,7.4730804782608695,7.180435
324,6.029574333333334,6.204241
325,9.709660666666666,9.825619
326,6.029574333333334,6.204241
327,7.156226612903226,7.500823
328,10.701692444444443,11.283958
329,10.149437363636363,10.558728
330,-2.1587588235294115,-4.9393
331,2.1854032333333335,1.78225065
335,4.894731363636364,4.903617
336,3.6188510000000003,3.12221
337,2.770809285714286,2.412636
338,9.873601,10.070545
339,4.537007,4.668794
340,18.465652173913043,18.45
341,16.811850736842107,16.859146
342,16.811850736842107,16.859146
343,0.44439569999999995,0.4315999
344,2.990578769230769,2.823745
345,13.782901095238095,13.76462
346,2.3604538095238095,2.426129
347,2.980428923076923,2.823745
348,15.405000000000001,15.82
349,6.519736,6.748294
350,7.077969705882353,7.23965
351,1.2098289999999998,0.280003
352,2.130043252873563,2.071236
353,4.914517526315789,4.628625
354,4.914517526315789,4.628625
355,3.780333333333333,3.81
356,12.699807434782606,12.716671
357,8.510258692307692,8.763512
358,14.150378,14.750744
359,6.000761333333334,5.967107
360,5.3971813636363635,5.298389
361,9.5884,9.76
362,9.476232285714286,9.770869
363,2.4244963636363632,2.453318
364,7.5714767878787885,8.374402
365,9.307079666666667,9.200413
366,7.202349652173914,6.949043
367,4.768781888888888,4.794036
368,10.043176578947367,9.443855
369,9.307079666666667,9.200413
370,-6.06024419047619,-6.754959
371,3.642822827586207,2.792676
372,3.642822827586207,2.792676
373,16.929819000000002,17.108473
374,16.929819000000002,17.108473
375,6.106969696969697,6.1
376,9.887228,10.060964
377,7.598648444444445,7.59018
378,8.874526,8.600538
379,8.358415904761905,8.704111
